"","Names","Birth_dates","Countries","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","Wikidata","bytes_french","Quotations_french","languages_french","pca"
"1","269","1660","United Kingdom",2139,21,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6218135",NA,NA,NA,0.115293260712453
"2","919","1667","United Kingdom",21830,394,17,4427,39,17,"https://www.wikidata.org/wiki/Special:EntityPage/Q435816",7424,49,17,3.46207086078794
"3","1533","1680","United Kingdom",680,6,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7787486",NA,NA,NA,0.0421584361591225
"4","3683","1663","United Kingdom",4238,18,8,5159,6,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q835863",3171,17,8,1.14964801375105
"5","3525","1750","United Kingdom",4973,15,7,2170,8,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q6779387",NA,NA,NA,0.644768042450693
"6","162","1755","United Kingdom",3132,18,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6536534",NA,NA,NA,0.117185811865757
"7","180","1772","United Kingdom",3909,13,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7345162",NA,NA,NA,0.165942804563086
"8","7250","1733","United Kingdom",4899,91,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2092570",3593,17,5,0.720167612611427
"9","7777","1675","United Kingdom",7823,363,22,3724,13,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q371877",4145,20,22,2.97199395581324
"10","8116","1671","United Kingdom",7053,193,9,7194,10,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q2747596",1557,17,9,1.61615661438807
"11","8152","1756","United Kingdom",4183,18,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q7146933",NA,NA,NA,0.154164715730472
"12","9629","1698","United Kingdom",14282,150,38,5681,43,38,"https://www.wikidata.org/wiki/Special:EntityPage/Q8755",4911,61,38,4.61338596886205
"13","10653","1714","United Kingdom",5575,9,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4902546",5849,8,2,0.491695419230926
"14","11219","1716","United Kingdom",3333,31,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5726568",NA,NA,NA,0.171837311938836
"15","11739","1748","United Kingdom",13710,188,25,5098,29,25,"https://www.wikidata.org/wiki/Special:EntityPage/Q389666",4288,47,25,3.40750652042773
"16","12204","1705","United Kingdom",1993,59,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3297579",NA,NA,NA,0.251441198010828
"17","12547","1751","United Kingdom",4914,65,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4669154",NA,NA,NA,0.334249842942991
"18","13731","1687","United Kingdom",4864,67,12,4321,12,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1370937",4146,31,12,1.66639753998816
"19","14256","1753","United Kingdom",12739,168,14,5016,22,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q218254",NA,NA,NA,1.68508078591611
"20","156","1692","United Kingdom",6863,65,22,5542,17,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q437734",12261,39,22,2.91599285892313
"21","14820","1659","United Kingdom",4296,9,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5545258",NA,NA,NA,0.145060175481156
"22","15429","1734","United Kingdom",12483,44,5,9042,18,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q432189",3966,16,5,1.42494902527402
"23","15889","1714","United Kingdom",9018,58,11,2933,12,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q1386031",6303,15,11,1.6758596186257
"24","144","1720","United Kingdom",1218,10,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q5536249",NA,NA,NA,0.0382156774483837
"25","1050","1745","United Kingdom",3618,91,24,2442,26,24,"https://www.wikidata.org/wiki/Special:EntityPage/Q441174",1794,21,24,2.54578861756538
"26","159","1787","United Kingdom",2055,14,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6220318",NA,NA,NA,0.0734786053011489
"27","114","1700","United Kingdom",4365,32,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6220888",NA,NA,NA,0.180915564199586
"28","1542","1701","United Kingdom",16093,163,42,5253,46,42,"https://www.wikidata.org/wiki/Special:EntityPage/Q208452",6349,47,42,5.01670541031195
"29","1848","1700","United Kingdom",1525,49,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6281516",NA,NA,NA,0.1343845219215
"30","2084","1700","United Kingdom",6290,99,21,1569,19,21,"https://www.wikidata.org/wiki/Special:EntityPage/Q945461",3188,27,21,2.41176902411583
"31","195","1738","United Kingdom",3945,11,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q8006117",NA,NA,NA,0.135617170784253
"32","2764","1747","United Kingdom",11863,24,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3428316",4029,12,2,0.693568572612288
"33","2795","1707","United Kingdom",6151,18,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4076065",NA,NA,NA,0.252093323841532
"34","3032","1652","United Kingdom",4136,49,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6225513",NA,NA,NA,0.226251237419092
"35","3513","1680","United Kingdom",3308,52,12,3018,13,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1394680",2175,29,12,1.48363780720091
"36","3633","1682","United Kingdom",16705,98,22,4622,21,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q451667",3751,37,22,3.02235528686364
"37","3663","1719","United Kingdom",3764,12,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3809424",NA,NA,NA,0.159387676380452
"38","268","1734","United Kingdom",13459,23,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q6228890",NA,NA,NA,0.573859538281956
"39","4248","1675","United Kingdom",3143,43,4,2675,8,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q1637291",NA,NA,NA,0.468722915708904
"40","156","1705","United Kingdom",6148,19,5,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3710079",NA,NA,NA,0.339497714813451
"41","4313","1729","United Kingdom",3961,16,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q2896063",4384,6,2,0.390306736824301
