"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"1","Francesca, Piero",1415,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q5822","scientist",20551,532,55,14179,158,55,58461,404,55,15.6434829121126
"2"," Arnold ,  Josef ",1823," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1704223"," painter ",NA,NA,NA,2741,17,1,NA,NA,NA,0.320868704828819
"3","Beckenkamp, Benedikt",1747,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q816924"," painter ",2207,9,2,28670,22,2,NA,NA,NA,2.08012777554124
"4","B%C3%BCrkel, Heinrich",1802,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q315533"," painter ",3035,22,6,9986,36,6,1322,4,6,1.89139072171148
"5","Dieterich, Johann",1787,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1693539"," painter ",NA,NA,NA,3154,21,2,NA,NA,NA,0.419364747552764
"6","Diezler, Anton",1811,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q23560680"," painter ",NA,NA,NA,3488,6,1,NA,NA,NA,0.286058126888454
"7","Diezler, Johannes",1789,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q23560691"," painter ",NA,NA,NA,5070,7,1,NA,NA,NA,0.382350947304417
"8","D%C3%B6rr, Christoph",1782,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1084881"," painter ",NA,NA,NA,21362,22,1,NA,NA,NA,1.40690938379912
"9","Eybl, Franz",1806," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q202273"," painter ",NA,NA,NA,4747,71,9,NA,NA,NA,1.18952131599413
"10","Feid, Josef",1806," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1704563"," painter ",NA,NA,NA,2758,11,2,NA,NA,NA,0.327035845214398
"11","Fendi, Peter",1796," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q453650"," painter ",NA,NA,NA,7358,45,17,NA,NA,NA,1.53250764394129
"12","Fischbach, Johann",1797," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q1693441"," painter ",NA,NA,NA,4550,21,4,NA,NA,NA,0.592548655407088
"13","Fischer, Johanna",1820," Austrian Empire ","https://www.wikidata.org/wiki/Special:EntityPage/Q29461362"," painter ",NA,NA,NA,4910,4,1,NA,NA,NA,0.352326764981191
"14","Forst, Johann",1756,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q28821725"," painter ",NA,NA,NA,2394,6,1,NA,NA,NA,0.224307891140198
"15","Fr%C3%A9gevize, Fr%C3%A9d%C3%A9ric",1770," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q5506691"," painter ",NA,NA,NA,5507,10,2,NA,NA,NA,0.475203967236434
"16","Freydanck, Carl",1811,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q14906693"," painter ",NA,NA,NA,9365,17,1,NA,NA,NA,0.694756786743741
