"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"1","d%E2%80%99Alembert, Jean-Baptiste",1717,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q153232","philosopher",25728,1117,72,16726,473,72,29747,1077,72,7.72451409062582
"2","Bendavid, Lazarus",1762,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q97151","scientist",2513,13,6,4197,17,6,NA,NA,NA,0.313674067411857
"3","(Wissenschaftler), Andreas",1720,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q496519","scientist",NA,NA,NA,3553,14,2,NA,NA,NA,0.0722276341704527
"4","Buck ,  Friedrich",1722,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1460073","scientist",NA,NA,NA,10325,15,1,NA,NA,NA,0.164957243118405
"5","Condorcet, Marie",1743,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q201477","philosopher",33854,1410,47,15567,146,47,53145,816,47,6.34606183145532
"6","Castillon, Johann",1708,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1371138","scientist",5090,35,7,4447,14,7,4780,29,7,0.636114944270352
"7","Ch%C3%A2telet, %C3%89milie",1706,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q7286","scientist",35025,291,44,24270,85,44,28842,257,44,4.32055090846103
"8","Euler ,  Leonhard",1707,"Switzerland","https://www.wikidata.org/wiki/Special:EntityPage/Q7604","scientist",65845,2344,142,33925,748,141,61846,785,141,13.5292994823186
"9","Ewerbeck, Christian",1761,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1079889","scientist",NA,NA,NA,4206,9,1,NA,NA,NA,0.0593329704795964
"10","Frobesius, Johann",1701,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1695691","scientist",NA,NA,NA,3152,18,2,NA,NA,NA,0.0700811298334256
"11","Gompertz ,  Aaron",1723,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2907871","physician",NA,NA,NA,6628,5,4,NA,NA,NA,0.148317764102159
"12","Hentsch, Johann",1723,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q28854619","scientist",NA,NA,NA,2804,13,1,NA,NA,NA,0.0409744472197363
"13","Holland, Georg",1742,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q15441517","scientist",NA,NA,NA,5492,7,1,1426,13,2,0.15065008264131
"14","Lambert ,  Johann",1728,"schweizerisch-elsässischer","https://www.wikidata.org/wiki/Special:EntityPage/Q122999","scientist",17037,240,42,14484,130,42,57790,149,42,4.02937761085979
"15","Luyts, Johannes",1655,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q1697969","scientist",NA,NA,NA,3663,19,2,NA,NA,NA,0.0794442006191414
"16","Nieuwentijt, Bernard",1654,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q585635","philosopher",4709,185,6,4682,10,6,NA,NA,NA,0.475645365094522
"17","Od%C3%A9, Jacobus",1698,"Netherlands","No Wikidata","philosopher",497,10,1,5173,11,9,NA,NA,NA,0.254394198535296
"18","Rossijn, Johannes",1744,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q1381480","scientist",NA,NA,NA,4479,10,1,NA,NA,NA,0.0648414353675044
"19","Schultz ,  Johann",1739,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1386462","scientist",11052,19,4,5125,15,4,NA,NA,NA,0.400303184844305
"20","Serrurier, Josephus",1663,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q1375636","scientist",NA,NA,NA,4619,15,1,NA,NA,NA,0.0725438765094971
"21","Spangenberg, Johann",1711,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1695187","scientist",NA,NA,NA,6053,17,1,NA,NA,NA,0.0979426971981442
"22","Str%C3%A4hler, Daniel",1692,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1162798","scientist",NA,NA,NA,5198,12,1,NA,NA,NA,0.0786602425396253
"23","Thegen, Georg",1651,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1506188","scientist",NA,NA,NA,6894,15,1,NA,NA,NA,0.109389374062079
"24","Wagner ,  Gabriel",1660,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1489766","philosopher",10127,12,4,1859,7,4,NA,NA,NA,0.318390571177111
"25","Wittich, Jacob",1677,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q3539445","scientist",2866,8,3,11357,9,3,NA,NA,NA,0.316585436104804
"26","Wolff ,  Christian",1679,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q76510","jurist",26182,315,41,21002,451,41,43831,148,42,4.45398136301048
"27","Bolzano, Bernard",1781,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q184735","scientist",36176,174,45,12118,139,45,18319,71,45,3.75279340166616
"28","Drobisch, Moritz",1802,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q67131","scientist",4113,20,7,8131,45,7,3271,5,7,0.646696249497328
"29","Erb, Carl",1791,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q29524958","scientist",NA,NA,NA,6163,8,1,NA,NA,NA,0.0899411911047698
"30","Heiberg ,  Johan",1791,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q402274","scientist",7679,123,15,3433,34,15,NA,NA,NA,0.804576127012813
"31","Ho%C3%ABn%C3%A9-Wronski, Josef",1776,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q331856","scientist",NA,NA,NA,6848,27,26,17548,44,26,1.32425205896334
"32","Metz, Andreas",1767,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q42715787","scientist",NA,NA,NA,14139,15,1,NA,NA,NA,0.226728112421841
