"","X.1","X","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca","Occupation_precise"
"1",1,1,269,1660,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q6218135","cartographer",2139,21,2,NA,NA,NA,NA,NA,NA,0.115293260712453," cartographer "
"2",2,2,919,1667,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q435816","scientist",21830,394,17,4427,39,17,7424,49,17,3.46207086078794," mathematician "
"3",3,3,1533,1680,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q7787486","scientist",680,6,2,NA,NA,NA,NA,NA,NA,0.0421584361591225," mathematician "
"4",4,4,3683,1663,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q835863","scientist",4238,18,8,5159,6,8,3171,17,8,1.14964801375105," mathematician "
"5",5,5,3525,1750,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q6779387","scientist",4973,15,7,2170,8,7,NA,NA,NA,0.644768042450693," mathematician "
"6",6,6,162,1755,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q6536534","scientist",3132,18,1,NA,NA,NA,NA,NA,NA,0.117185811865757," mathematician "
"7",7,7,180,1772,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q7345162","scientist",3909,13,2,NA,NA,NA,NA,NA,NA,0.165942804563086," mathematician "
"8",8,8,7250,1733,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2092570","scientist",4899,91,5,NA,NA,NA,3593,17,5,0.720167612611427," mathematician "
"9",9,9,7777,1675,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q371877","scientist",7823,363,22,3724,13,22,4145,20,22,2.97199395581324," mathematician "
"10",10,10,8116,1671,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2747596","scientist",7053,193,9,7194,10,9,1557,17,9,1.61615661438807," mathematician "
"11",11,11,8152,1756,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q7146933","scientist",4183,18,1,NA,NA,NA,NA,NA,NA,0.154164715730472," mathematician "
"12",12,12,9629,1698,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q8755","scientist",14282,150,38,5681,43,38,4911,61,38,4.61338596886205," mathematician "
"13",13,13,10653,1714,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q4902546","scientist",5575,9,2,NA,NA,NA,5849,8,2,0.491695419230926," mathematician "
"14",14,14,11219,1716,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q5726568","scientist",3333,31,2,NA,NA,NA,NA,NA,NA,0.171837311938836," mathematician "
"15",15,15,11739,1748,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q389666","scientist",13710,188,25,5098,29,25,4288,47,25,3.40750652042773," mathematician "
"16",16,16,12204,1705,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q3297579","scientist",1993,59,5,NA,NA,NA,NA,NA,NA,0.251441198010828," mathematician "
"17",17,17,12547,1751,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q4669154","scientist",4914,65,4,NA,NA,NA,NA,NA,NA,0.334249842942991," mathematician "
"18",18,18,13731,1687,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1370937","scientist",4864,67,12,4321,12,12,4146,31,12,1.66639753998816," mathematician "
