"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"1","Vinci, Leonardo",1452,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q762","painter",104305,4813,207,84692,1599,212,169674,2584,212,73.0943750102485
"2","Bih%C3%A9ron, Marie",1719,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3292426","Q38743359",6176,26,5,NA,NA,NA,6591,8,5,0.858967688722193
"3","Manzolini, Anna",1714,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q269701","scientist",8608,40,14,NA,NA,NA,2263,15,15,1.55178408534202
"4","Manzolini, Giovanni",1700,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q5563900","painter",5537,7,2,NA,NA,NA,NA,NA,NA,0.266979635723149
"5","Susini, Clemente",1754,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2857682","sculptor",9853,22,4,NA,NA,NA,10604,9,4,1.07303320404663
"6","Zumbo, Gaetano",1656,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q547564","sculptor",3068,8,4,NA,NA,NA,6582,12,4,0.629088582611639
"7"," Bernadotte ,  Eugenia ",1830,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q526915"," composer ",16345,143,23,NA,NA,NA,NA,NA,NA,1.74804468579775
"8","Multscher, Hans",1400,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q663122"," sculptor ",2662,21,12,NA,NA,NA,2424,18,12,1.09089270699143
"9","Notke, Bernt",1435,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q450490"," sculptor ",16941,80,17,8520,114,17,1800,26,17,4.58310975654032
"10","Weiditz, Christoph",1498,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q828775"," painter ",3571,6,6,3423,31,6,4212,9,6,1.52774895800225
"11","Agabito, Pietro",1470,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q685765"," painter ",3856,10,6,NA,NA,NA,4309,10,6,0.728208994901396
"12"," Alberti ,  Leon ",1404,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q182046"," philosopher ",37941,775,54,34993,262,54,32433,435,54,17.5292883849446
"13","Bamboccio, Antonio",1351,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2857183"," painter ",2710,7,1,NA,NA,NA,5051,9,2,0.376423528713422
"14","Berruguete, Alonso",1488,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q114357"," painter ",3034,66,22,NA,NA,NA,3853,34,22,2.01165705880901
"15"," Alberti ,  Alberto ",1526,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2831732"," architect ",885,18,3,NA,NA,NA,2895,22,3,0.404708477334353
"16","Moro, Giulio",1555,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1441999"," architect ",1270,6,3,1828,8,3,NA,NA,NA,0.491364089169132
"17"," Azzolino ,  Giovanni ",1598,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2316803"," painter ",3147,25,6,NA,NA,NA,2923,23,6,0.734048483887372
"18","Bandinelli, Bartolommeo",1493,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q358348"," sculptor ",12495,131,22,NA,NA,NA,4468,68,22,2.7125875099108
"19","Barbieri, Domenico",1501,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1411009"," sculptor ",2792,18,4,NA,NA,NA,19559,25,4,1.10173026514772
"20"," Becerra ,  Gaspar ",1520,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q712391"," painter ",2392,24,14,NA,NA,NA,2279,67,14,1.40641860741198
"21"," Benoist ,  Antoine ",1632,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2853671"," painter ",2214,11,4,NA,NA,NA,NA,NA,NA,0.198411760543108
"22"," Blanchet ,  Thomas ",1614,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3524926"," painter ",1671,25,4,NA,NA,NA,16855,36,4,1.02283080007872
"23"," Puget ,  Pierre ",1620,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q371979"," architect ",6724,92,20,4431,40,20,53840,264,20,6.13908928486503
"24","Kracker, Tobias",1658,"sculptor","https://www.wikidata.org/wiki/Special:EntityPage/Q2437867"," sculptor ",2410,5,2,NA,NA,NA,NA,NA,NA,0.125832781315767
"25","Rauchmiller, Matthias",1645,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1327497"," sculptor ",8501,19,4,NA,NA,NA,NA,NA,NA,0.490687062951621
"26"," Bernini ,  Gian ",1598,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q160538"," sculptor ",90240,1126,66,NA,NA,NA,35982,538,66,14.1112372383443
"27"," Cano ,  Alonso ",1601,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q378783"," painter ",6137,132,26,NA,NA,NA,5165,76,26,2.76983533151818
"28"," Duque ,  Pedro ",1678,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q3821455"," sculptor ",1720,16,3,NA,NA,NA,NA,NA,NA,0.153282794265567
"29","Risue%C3%B1o, Jose",1640,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q6279539"," painter ",2400,7,2,NA,NA,NA,NA,NA,NA,0.129663592410301
"30"," Abildgaard ,  Nikolai ",1743,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q319854"," painter ",12934,107,32,3133,43,32,NA,NA,NA,3.7976038111973
"31"," Dagley ,  Richard ",1765,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q7325070"," artist ",7981,11,1,NA,NA,NA,NA,NA,NA,0.348321605956822
"32","Garrard, George",1760,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q5539629"," painter ",6665,20,2,NA,NA,NA,NA,NA,NA,0.344101150959342
"33","Bouchardon, Edm%C3%A9",1698,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q987687"," sculptor ",4660,71,11,NA,NA,NA,8277,99,11,1.70764877900173
"34","Delafontaine, Pierre-Maximilien",1777,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3383384"," painter ",1894,6,2,NA,NA,NA,3229,11,2,0.322136825987276
"35"," Zimmermann ,  Johann ",1680,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q536529"," painter ",4727,40,15,9523,166,15,3982,36,15,4.28555219129749
"36","Bottiglieri, Matteo",1684,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3852086"," sculptor ",1520,11,2,NA,NA,NA,NA,NA,NA,0.09968039558465
"37","Klukstad, Jakob",1705,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q4571227"," wood carver ",2075,16,3,NA,NA,NA,NA,NA,NA,0.16882222537048
"38","Bour%C3%A9, Antoine-F%C3%A9lix",1831,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2853726"," sculptor ",27326,22,2,NA,NA,NA,NA,NA,NA,1.25276458281347
"39"," Olrik ,  Henrik ",1830,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q1803038"," painter ",4745,16,4,NA,NA,NA,NA,NA,NA,0.319872692234815
"40","Gabri%C3%ABl, Paul",1785,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q2244934"," painter ",1480,14,2,NA,NA,NA,NA,NA,NA,0.104332286092301
"41"," Bazin ,  Charles ",1802,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3920077"," painter ",1109,12,3,NA,NA,NA,2664,6,3,0.33389458342923
"42"," Q56233338 ,  Pierre ",1782,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3031626"," lithographer ",4754,12,4,NA,NA,NA,5987,31,4,0.764203815761487
"43","Berne-Bellecour, %C3%89tienne-Prosper",1838,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q290072"," painter ",6774,13,4,NA,NA,NA,3987,41,4,0.82868669107537
"44","Bonheur, Isidore",1827,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3155302"," sculptor ",14732,21,3,NA,NA,NA,8930,31,3,1.24389303085169
"45"," Bonheur ,  Rosa ",1822,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q241732"," painter ",25726,452,23,11590,64,23,39757,308,23,8.73584514612889
"46","Entres, Josef",1804,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1707756"," sculptor ",1341,10,2,NA,NA,NA,NA,NA,NA,0.089710749690048
"47","Arrivabene, Giulio",1806,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q16059847"," painter ",2533,2,2,NA,NA,NA,NA,NA,NA,0.12481405357349
"48","Bompiani, Roberto",1821,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3938628"," painter ",3404,14,2,NA,NA,NA,NA,NA,NA,0.188551625376393
"49","Norwid, Cyprian",1821,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q340122"," poet ",13364,360,20,4517,56,20,10006,159,20,5.31650455456723
"50","Hartmann, Viktor",1834,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q924605"," painter ",3497,39,15,NA,NA,NA,NA,NA,NA,0.690272952532007
"51"," Ferrari ,  Gaudenzio ",1475,"Northern","https://www.wikidata.org/wiki/Special:EntityPage/Q734108"," painter ",5967,87,13,3085,18,13,7179,58,13,2.75266641127857
"52"," Gatti ,  Saturnino ",1463,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q923418"," painter ",1993,2,5,NA,NA,NA,6232,11,5,0.62451426417609
"53","Credi, Lorenzo",1459,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q8511"," painter ",4450,223,25,NA,NA,NA,10077,77,25,2.98055734354407
"54"," Mazzoni ,  Guido ",1450,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2262257"," sculptor ",8513,23,6,NA,NA,NA,13434,30,6,1.32665799571899
"55"," Buonarroti ,  Michelangelo ",1475,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q5592"," sculptor ",66420,3183,193,68206,1268,193,NA,NA,NA,39.9387305842814
"56","Delli, Dello",1403,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2261310"," painter ",2099,22,6,NA,NA,NA,7844,12,6,0.797316095667369
"57","Pollaiolo, Antonio",1429,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q318640"," painter ",9673,263,29,NA,NA,NA,11078,102,29,3.70189866513271
"58"," Cione ,  Andrea ",1435,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q183458"," painter ",16239,309,56,8055,133,56,14208,216,56,10.608282895061
"59","Calamech, Lazzaro",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q6506181"," painter ",1547,5,1,NA,NA,NA,NA,NA,NA,0.0538802074277076
"60"," Cellini ,  Benvenuto ",1500,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q190116"," sculptor ",32106,404,48,NA,NA,NA,23668,224,48,7.18208167534502
"61","Crescenzio, Antonello",1476,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q596868"," painter ",1037,9,3,3059,10,3,NA,NA,NA,0.636215991257271
"62","Crespi, Giovanni",1573,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1525857"," painter ",2832,69,13,3872,20,13,5596,58,13,2.6260842049782
"63","Magistris, Simone",1538,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3961210"," painter ",1915,27,2,NA,NA,NA,NA,NA,NA,0.151119080889746
"64","Scultori, Giovanni",1503,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3107069"," painter ",1366,13,3,NA,NA,NA,NA,NA,NA,0.13138432388373
"65"," Tibaldi ,  Pellegrino ",1527,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q861385"," architect ",8308,100,14,NA,NA,NA,NA,NA,NA,0.996879155270251
"66","Canini, Marcantonio",1622,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q13646692"," painter ",1659,8,2,NA,NA,NA,NA,NA,NA,0.0993620365682274
"67","Cornacchini, Agostino",1686,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q674857"," painter ",1449,22,7,NA,NA,NA,2462,23,7,0.708840283339384
"68"," Gherardi ,  Antonio ",1638,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q531430"," painter ",3895,27,5,NA,NA,NA,2279,14,5,0.64626538195905
"69"," Vaccaro ,  Domenico ",1678,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1084847"," painter ",3533,59,5,NA,NA,NA,2233,50,5,0.833235602932637
"70"," Fortin ,  Augustin ",1763,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q65331"," sculptor ",2001,11,5,NA,NA,NA,2917,20,5,0.572242857606588
"71"," Fragonard ,  Alexandre ",1780,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q704938"," sculptor ",4292,50,7,NA,NA,NA,13620,70,7,1.4267907992661
"72"," Hutin ,  Charles ",1715,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2958054"," painter ",2760,22,4,NA,NA,NA,1372,6,4,0.456499253625138
"73"," Hutin ,  François ",1686,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q16841826"," painter ",2053,7,1,NA,NA,NA,NA,NA,NA,0.0802979099310724
"74","Meissonnier, Juste-Aur%C3%A8le",1695,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1364279"," architect ",3606,45,10,2756,16,10,3980,19,10,1.92396638602541
