"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"1","K%C3%A4stner, Abraham",1719,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q61813","scientist",5361,65,18,8090,86,18,1147,21,18,2.1623760531179
"2","Heiberg ,  Johan",1791,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q402274","scientist",7679,123,15,3433,34,15,NA,NA,NA,1.32063618352457
"3","Descartes, Ren%C3%A9",1596,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q9191","philosopher",94411,3809,145,55397,1344,145,138734,2116,145,29.4535869649653
"4","Pascal ,  Blaise",1623,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1290","scientist",46490,2086,121,38697,516,122,82378,1447,121,19.9868300468292
"5","Bergsøe ,  Jörgen",1835,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q715868","writer",NA,NA,NA,4033,18,5,NA,NA,NA,0.304542644128258
"6","Haller, Albrecht",1708,"Switzerland","https://www.wikidata.org/wiki/Special:EntityPage/Q123225","scientist",32009,181,28,36850,347,28,20422,222,30,5.99459427854611
"7","Sparrman ,  Anders",1748,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q433984","explorer",NA,NA,NA,7684,74,20,NA,NA,NA,0.945982034812987
"8","Aasen ,  Ivar",1813,"Scandinavia","No Wikidata","philologist",497,10,1,5173,11,9,NA,NA,NA,0.491086563659374
"9","Becker ,  Lydia",1827,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q276466","scientist",14583,90,9,6447,19,9,NA,NA,NA,1.19676808240934
"10","Chamisso, Adelbert",1781,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q154782","scientist",12201,452,43,21967,410,43,11733,232,43,6.46424323267858
"11","Schimper, Karl",1803,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q65402","scientist",3313,33,9,12331,55,9,NA,NA,NA,1.11352240339941
"12","Brahe ,  Tychon",1546,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q36620","scientist",88513,1256,95,40223,433,95,NA,NA,NA,10.8779987796498
"13","Ekeberg ,  Anders",1767,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q468303","scientist",3263,35,23,1488,27,23,676,20,23,2.15267069191642
"14","Herman, Nikolaus",1480,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q71706"," composer ",NA,NA,NA,5831,53,7,3295,15,7,0.765893793403831
"15","Molinet, Jean",1435,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2466849"," writer ",NA,NA,NA,8722,28,10,6273,54,10,1.11280802118516
"16"," Albert ,  Heinrich ",1604,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q679477"," composer ",NA,NA,NA,11195,76,11,3647,14,11,1.20872007502102
"17"," Almqvist ,  Carl ",1793,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q316381"," writer ",5706,95,26,6667,44,26,1981,28,26,2.76603752954148
"18","Neander, Joachim",1650,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q445967"," composer ",NA,NA,NA,7795,84,21,NA,NA,NA,0.995852322096017
"19","Schein, Johann",1586,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q57827"," composer ",NA,NA,NA,10610,163,21,6873,93,21,2.11489453550915
"20"," Rousseau ,  Jean-Jacques ",1712," Republic of Geneva ","https://www.wikidata.org/wiki/Special:EntityPage/Q6527"," philosopher ",139492,4065,129,80415,1512,129,242972,2874,131,34.1815767743852
"21","Schubart, Christian",1739,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q61251"," poet ",6615,57,15,12318,225,15,NA,NA,NA,1.85938907576069
"22","Droste-H%C3%BClshoff, Annette",1797,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q57307"," writer ",21370,285,33,33023,547,33,5086,32,33,5.78228765767406
"23"," Geijer ,  Erik ",1783,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q380937"," writer ",13460,83,23,4665,47,23,14012,15,23,2.84418996952113
"24"," Wagner ,  Richard ",1813,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1511"," composer ",108256,5584,143,118845,4298,143,93101,2606,145,39.1905039124847
"25"," Vasari ,  Giorgio ",1511,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q128027"," painter ",17913,1528,67,42020,483,67,19153,1108,67,12.3894305785862
"26","Fromentin, Eug%C3%A8ne",1820,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q353746"," painter ",6129,79,22,5250,41,22,12962,147,22,2.81980465940311
"27","Kopisch, August",1799,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q88387"," painter ",4029,32,5,9734,88,5,NA,NA,NA,0.886669957309135
"28","Comte ,  Auguste",1798,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q12718","",41376,1079,86,23650,255,86,111516,689,86,13.9750871533643
"29","Daumer, Georg",1800,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q64661","",5033,32,11,18217,65,11,9974,9,11,1.98305961169205
"30","Feuchtersleben, Ernst",1806,"Austria","https://www.wikidata.org/wiki/Special:EntityPage/Q699085","",NA,NA,NA,6183,52,13,5602,15,13,1.15125335696301
"31","Giner ,  Francisco",1839,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q761732","",NA,NA,NA,2753,25,12,6748,36,12,0.997311100763432
"32","Grundtvig ,  Nikolaj",1783,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q331893","",28672,528,35,25793,146,35,NA,NA,NA,4.31707633409581
"33","Humboldt, Wilhelm",1767,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q77888","",28742,797,59,93329,819,59,43182,266,59,12.3127556219992
"34","Kierkegaard ,  Søren",1813,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q6512","",223822,2455,100,48048,548,100,88372,526,100,21.7195483336395
"35","Møller ,  Poul",1794,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q137571","",11666,90,9,3119,22,9,3020,67,9,1.45395910898202
"36","Snellman ,  Johan",1806,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q127688","",NA,NA,NA,20150,81,24,NA,NA,NA,1.47780148341561
"37","Steffens ,  Henrik",1773,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q64406","",NA,NA,NA,20820,113,13,1387,78,13,1.78088673760872
"38","Tocqueville, Alexis",1805,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q140694","",65579,1348,59,51177,219,59,72613,780,59,12.919983161172
"39","Vischer, Friedrich",1807,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q651","",NA,NA,NA,13839,168,13,1790,14,13,1.53761027447988
"40","Welhaven ,  Johan",1807,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q954720","",7720,80,13,16796,45,13,NA,NA,NA,1.62072810670186
"41","Wikner ,  Pontus",1837,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q711658","",NA,NA,NA,1551,13,6,NA,NA,NA,0.242387943894945
"42","Beattie ,  James",1735,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q915031","",NA,NA,NA,3325,23,9,4269,21,9,0.770089355790562
"43","Diderot ,  Denis",1713,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q448","",63767,2269,85,329312,1145,85,92380,2645,85,30.7779764305404
"44","d%E2%80%99Holbach, Paul",1723,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q7104","",37634,678,48,62605,216,48,20635,400,48,9.21998211828417
"45","Montesquieu, Charles",1689,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q15975","",28447,2044,89,45492,710,89,92615,1286,89,17.3086855727164
"46","Novalis, Novalis",1772,"Electorate of Saxony","https://www.wikidata.org/wiki/Special:EntityPage/Q60684","",28704,704,57,40182,615,57,34585,365,57,9.96258737322244
"47","Voltaire, Voltaire",1694,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q9068","",125176,4724,143,82885,1576,143,212475,3961,143,37.3628260867169
