"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0,-0.718420243832978,0.0432467867281181,-0.423231154680194,1.30080158787063,0.113461487392292,0,0.0316461428743063,0,0,0.20011125993923,0,-67.0024273294909,0.0198338831591027
"2",0,-0.786665245505816,0.0400998402256057,-0.411212116498385,1.33344975496821,0.131602068144606,0,0.029121103256046,0,0,-0.00835534675630709,0,-66.4205881805263,0.0139996789954002
"3",0,-0.793042441249999,0.0305657812338883,0.435080610256228,1.18789796747498,0.171515916959878,0,0.0454526694697967,0,0,0.154418711441623,0,-66.8641244414643,0.0108613029738873
"4",0,-0.789081679720192,0.0353346988730019,-0.420965407604901,1.34243855987958,0.176868343527012,0,0.00928069094393353,0,0,0.0343940029266734,0,-68.091632788815,0.0178213853097041
"5",0,0.785685656734369,0.0461344819309642,0.419700000532584,1.39299808554309,0.137041980058762,0,0.0120436258091585,0,0,-0.0208590547216406,0,-67.1904956966209,0.0131814145026439
"6",0,0.735881200262332,0.04487560850758,0.436482364014834,1.35467660472667,0.133352267763283,0,0.0255027184632294,0,0,0.0537276654920621,0,-66.4629021930655,0.00898275284147229
"7",0,-0.758333879907866,0.038142870656342,0.447852798655656,1.32110015241238,0.0949276745419297,0,0.0376467647797599,0,0,-0.0976252924559827,0,-66.9878996154798,0.00635653521013956
"8",0,-0.768773829924776,0.0344303227038143,0.428005372212196,1.37367858625086,0.123154608896747,0,0.0246939692647661,0,0,-0.019259690495033,0,-66.512186157658,0.00905093428529872
"9",0,-0.771545406710218,0.038027971363694,-0.403535577736518,1.45244248436567,0.0670524866055578,0,0.0234868286406907,0,0,-0.106506247030833,0,-67.5299287482787,0.0127367849134514
"10",0,0.789529199574033,0.0379512825908449,0.432631141114619,1.35550044131718,0.223585188961662,0,0.0243847428010487,0,0,0.0968254742155293,0,-67.1880619830184,0.00787282268161217
"11",0,0.771607412138177,0.0453133624510924,0.445488845035923,1.25439881494795,0.252687074883758,0,0.0233841327129386,0,0,0.175863357928253,0,-67.619861948729,0.0104558215708618
"12",0,-0.805132078695135,0.0417196580714121,-0.42216652691784,1.33739317671069,0.122509671601368,0,0.0322212274378479,0,0,0.119074490626329,0,-66.8695816385734,0.0095156469462688
"13",0,0.753422980631283,0.0469111927604881,0.42851442561537,1.31869381749497,0.100432010859742,0,0.0284397195371667,0,0,0.0498822403248117,0,-66.3645010736845,0.0119316060409322
"14",0,-0.797181029452034,0.0333504902349618,0.421483216473046,1.30702160403728,0.163678453472689,0,0.041453210654106,0,0,-0.143179025404457,0,-66.8615570059663,0.00885562151747088
"15",0,0.76651027248383,0.0277652577922724,0.44110999102886,1.24912124078064,0.185435066295372,0,0.0439824254216009,0,0,0.139444007643993,0,-66.8828331229906,0.00801628927954393
"16",0,0.791581115226803,0.0409472060266461,0.426603428113163,1.22263628569431,0.154416793816596,0,0.0366038016171547,0,0,0.182195754547878,0,-66.6499578964466,0.0137635959497849
"17",0,0.763887764153933,0.0441516720271868,0.432438697401449,1.33967495341352,0.140043484468408,0,0.0313291359763214,0,0,0.0958408794253987,0,-66.5421623624542,0.00848294579567416
"18",0,0.762750970954946,0.0304329670309667,-0.438886027600361,1.35801484310121,0.110592597729811,0,0.0234571753841911,0,0,-0.0850490625178021,0,-66.9273848525142,0.00809070082615964
"19",0,0.765777781048091,0.0587979180874647,0.440018219081982,1.31729275379425,0.215661973558956,0,0.0187286268302427,0,0,-0.0960505307119904,0,-67.0516959626327,0.00990059951592552
"20",0,0.809076693095777,0.039828986342566,-0.435420540138665,1.23232193081077,0.143664880838204,0,0.0439023356784441,0,0,0.221553694758269,0,-67.2552485268336,0.00915351386480106
"21",0,-0.868652495285291,0.0288846863860782,0.397052565098053,1.19084652865367,0.250911026997155,0,0.0341104450430778,0,0,0.0503625196509475,0,-68.2792647358652,0.021562564548349
"22",0,-0.782496310579595,0.0303847661803788,0.426057884211647,1.37336259192297,0.195004076931662,0,0.0213120301085809,0,0,-0.024329120736055,0,-66.9976371979596,0.00929108151183461
"23",0,-0.752428460081576,0.0438970026540844,-0.429795127126177,1.37138596117899,0.158770172366121,0,0.0189151073495298,0,0,-0.0342349174436241,0,-66.4751002388899,0.0107115155970454
"24",0,-0.82106540770191,0.0414471869230805,0.373660827033756,1.34318972442393,0.255809197740431,0,0.0192171246353659,0,0,0.116184534290906,0,-69.559413665841,0.0418872060646355
"25",0,-0.803486250594842,0.0448029442565592,-0.428034361720745,1.31854415551757,0.19904198415648,0,0.0279326879950688,0,0,0.127871579184384,0,-67.0011006295429,0.00929118027291811
